"","Site","Avg_Can","Water_D","Water.Temp","Quadrat","Litter","Water","St.Dead"
"1","IN1",338.333333333333,23.3333333333333,21.1333333333333,2,0.333333333333333,20.8333333333333,18.3333333333333
"2","IN2",417.333333333333,58,19.5333333333333,2,0,1.5,36
"3","IN3",327.666666666667,22.3333333333333,19.4666666666667,2,1.66666666666667,6.66666666666667,18.5
"4","IN4",286,28.6666666666667,22.4333333333333,2,0,6.66666666666667,18.3333333333333
"5","IN5",328.333333333333,42,20.0666666666667,2,0,23.3333333333333,21.6666666666667
"6","IN6",349.666666666667,26.3333333333333,20.3333333333333,2,0,5.83333333333333,12.5
"7","IN7",467.333333333333,70.5,20.7666666666667,2,0,7.5,21.6666666666667
"8","IN8",367,48.3333333333333,20.9333333333333,2,0,2,6.66666666666667
"9","INOW",164.333333333333,77,23.1333333333333,2,0,71.6666666666667,0
"10","RES1",152.666666666667,26.6666666666667,26.8,2,1.66666666666667,11,0
"11","RES2",132.333333333333,27.1666666666667,26.6333333333333,2,0,11,0
"12","RES3",166,29.6666666666667,29.1666666666667,2,8.33333333333333,49.6666666666667,2
"13","RES4",82.6666666666667,35.3333333333333,29.6666666666667,2,0,22,0
"14","RES5",114,21.6666666666667,27.6666666666667,2,0,11.6666666666667,0
"15","RES6",129.333333333333,51,25.0333333333333,2,1.66666666666667,16,0.916666666666667
"16","RES7",76.6666666666667,24,24.8,2,0,16,0.0866666666666667
"17","RES8",142,23.1666666666667,24.6333333333333,2,0.833333333333333,6.66666666666667,0.333333333333333
"18","RESOW",118.666666666667,49.6666666666667,26.8333333333333,2,0,50.3333333333333,0
"19","UNM1",123.333333333333,16.3333333333333,21.2666666666667,2,16.6666666666667,16.6666666666667,3.33333333333333
"20","UNM2",121,16.6666666666667,21.9333333333333,2,33.3333333333333,15,0.0833333333333333
"21","UNM3",102,7,22.7666666666667,2,41.6666666666667,10,10.8333333333333
"22","UNM4",153.333333333333,15,22.3333333333333,2,1.66666666666667,10,0
"23","UNM5",122.666666666667,24.6666666666667,25.8333333333333,2,24.5,28.6666666666667,0.833333333333333
"24","UNM6",158.333333333333,32.8333333333333,25.8666666666667,2,0.833333333333333,63.6666666666667,1.16666666666667
"25","UNT1",295,34.8333333333333,19.6333333333333,2,0,3.66666666666667,14.1666666666667
"26","UNT2",246,36.1666666666667,20.2,2,0,14.3333333333333,52.6666666666667
