"","MDS1","MDS2","Taxa"
"Dolichopodidae",-0.104643376209305,0.579709384402055,"Dolichopodidae"
"Drosophilidae",-0.210083895158635,0.411007874646832,"Drosophilidae"
"Muscidae",-0.127008697372611,0.742740282844168,"Muscidae"
"Scelionidae",-0.106534394312898,0.453067067727736,"Scelionidae"
"Hemerobiidae",-0.0958519136155089,0.508225437793268,"Hemerobiidae"
