"","Site","Habitat","NMDS1","NMDS2","NMDS3"
"1","1","Invaded",-0.135827373383846,-0.423916092800897,-0.170641951842034
"2","2","Treated",0.258529484350928,0.704138457216559,-0.328786860872179
"3","3","Invaded",0.099726548809558,-0.345220234606722,-0.450579631289869
"4","4","Invaded",0.300238063730009,-0.416243906554867,0.168953277524514
"5","5","Uninvaded",-0.733607774455525,-0.0859959081401048,-0.114987815250044
"6","6","Uninvaded",-0.257460155358677,-0.254312551444044,0.664130582994977
"7","7","Uninvaded",-0.493590209370247,0.108861093150719,-0.385471279599728
"8","8","Uninvaded",-0.392792061451024,-0.0595730174875501,-0.59774910532208
"9","9","Treated",0.377616032733642,0.246186455420219,-0.242166328599421
"10","10","Uninvaded",-0.83596908638753,-0.120644003715763,0.130523767682449
"11","11","Invaded",0.440043447616788,-0.150668645367761,0.398986477302598
"12","12","Treated",0.701850519741136,-0.844246317222267,-0.138056789600828
"13","13","Uninvaded",-0.503707263572806,0.166075090716283,0.60838749777694
"14","14","Treated",0.31221807716144,0.57662807243834,0.313372060169859
"15","15","Invaded",0.192586719792135,-0.103459373398283,0.619615186653349
"16","16","Uninvaded",-1.03327248106833,-0.0544874689433153,-0.280187753886234
"17","17","Invaded",0.534819047738797,-0.204287926316211,-0.203800938081497
"18","18","Invaded",0.38507867622345,-0.252680082302384,-0.252927090770814
"19","19","Uninvaded",-0.315266054022169,-0.138917535689406,0.447979351282953
"20","20","Invaded",0.110952271071933,-0.754806943074438,-0.0386448922086762
"21","21","Treated",0.211362865345923,0.462495514560521,-0.291544129602384
"22","22","Treated",-0.218902723690142,0.593024997308195,0.0738357492670541
"23","23","Treated",0.489741784763543,0.506441567967068,0.207438288446504
"24","24","Treated",0.148440767893252,0.563771804909487,-0.0792516004882256
"25","25","Treated",0.357190875787759,0.281836953376623,-0.0584260716871814
