"","MDS1","MDS3","species"
"Oligochaeta",0.353521369884556,-0.000789701681726681,"Oligochaeta"
"Hirudinea",0.443015885268308,-0.0934550249480384,"Hirudinea"
"Hydrazoa",0.367205906595217,0.243149876591863,"Hydrazoa"
"Bivalvia",0.128714831588258,-0.47298278357161,"Bivalvia"
"Gastropoda",0.305822762514229,0.0590449392252687,"Gastropoda"
"Araneae",-0.65304328568667,0.0184872786835162,"Araneae"
"Amphipoda",0.396199014100392,-0.246863225547467,"Amphipoda"
"Ostracoda",0.249540716152289,-0.141165158966133,"Ostracoda"
"Collembola",-0.748300459267159,-0.29377482510614,"Collembola"
"Dytiscidae",0.196679628167448,-0.139093235510185,"Dytiscidae"
"Hydrophilidae",-0.669103827845241,0.0410504871707726,"Hydrophilidae"
"Lampyridae",-0.25287396141527,0.370683544498522,"Lampyridae"
"Chironomidae",0.395898271186205,0.00700120981336262,"Chironomidae"
"Ceratopogonidae",0.244610211207866,0.129526144073649,"Ceratopogonidae"
"Caenidae",0.326494218726379,0.00555059314040302,"Caenidae"
"Thysanoptera",-0.208612957719287,0.717010182494149,"Thysanoptera"
"Leptoceridae",0.191541127975034,-0.0748782654893285,"Leptoceridae"
