"","NMDS1","NMDS2","X.alltaxa12.2018.vectors..r","X.alltaxa12.2018.vectors..pvals"
"Canopy.Height",-0.987609851998873,-0.15692922046185,0.457756849581477,0.001
"Water.D",0.116665522074307,-0.993171262149247,0.213184319703398,0.071
"Water.Temp",0.911645979299606,0.410976408601348,0.62005982674669,0.001
"Litter",-0.964622412811732,-0.263635355560047,0.0152624074594273,0.86
"Water",0.585623117225926,-0.810583471686038,0.205202295874274,0.081
"Standing.Dead",-0.961344869535442,0.275347129670684,0.492591796524713,0.001
"CALCANAD",-0.543976554553686,-0.839100415978863,0.0752397054384016,0.469
"CAMAPARI",-0.560023274319204,0.828476874885954,0.0767259336283932,0.469
"CALSEPIU",-0.830244773001871,-0.557398974616092,0.0414189743874193,0.729
"CARAQUAT",-0.951231539830742,-0.308477807356114,0.0295413577927322,0.713
"CARBUXBA",-0.630172582925692,-0.776455095758127,0.0296444829988305,0.725
"CARCRYPT",0,0,0,1
"CARLACUS",-0.99966623524255,-0.0258344366299402,0.0969423129249806,0.339
"CARLANGU",-0.539347030919321,-0.842083594566782,0.0501301150992426,0.616
"CARLASIO",-0.720370899649283,0.69358904759121,0.0016010681639825,1
"CARSARTW",0.11296530886736,-0.993598932664736,0.0246454544212838,0.837
"CLAMARIS",-0.987204973892392,-0.159456387523742,0.0420307099034457,0.604
"Chara.spp.",0.957338310735559,0.288969477277423,0.194761774483775,0.043
"Cornus.sp.1",0.751019015041354,-0.660280576002591,0.0175698286975732,0.85
"ELEQUADR",0.51351267423741,-0.858082008550199,0.245240632384871,0.049
"Eleocharis.Spp",-0.560023274319204,0.828476874885954,0.0767259336283932,0.469
"ELOCANAD",0.399505873851967,-0.916730634787437,0.108992714756222,0.262
"HYDMORSU",0.985416810547972,0.170157895759977,0.232657973611114,0.025
"HYPKALMI",-0.979692433778491,0.200506197403416,0.0285869856977678,0.761
"IRIVERSA",-0.894547574807058,0.446972746827826,0.03481428670692,0.741
"JUNBALTI",-0.598900194643353,0.800823674010799,0.0236003337898554,0.816
"JUNBREVI",0.177918952125143,-0.984045144530824,0.0353603696734228,0.861
"LYSTHYRS",0.961071088531675,0.276301217493774,0.0126769562921218,0.933
"LYTSALIC",0.0933805218956057,0.995630492768529,0.151814153583228,0.124
"NAJMINOR",0.70048632785632,-0.713665821296192,0.084732721220791,0.393
"NYMODORA",0.849915033288256,0.526919762573604,0.116414063791544,0.238
