"","MDS1","MDS3","species"
"Carabidae",-0.36324307023127,0.372213949798516,"Carabidae"
"Phalacridae",-0.0474989578631305,0.482152373310367,"Phalacridae"
"Chironomidae",0.417951532534595,-0.415127623555079,"Chironomidae"
"Dolichopodid",-0.507134532177927,-0.0779264326410443,"Dolichopodid"
"Carnidae",-0.430772030623096,0.138297090578334,"Carnidae"
"Caenidae",0.459328943940755,0.113261983061628,"Caenidae"
"Scelionidae",-0.430391276819514,-0.158077472081831,"Scelionidae"
"Hemerobiidae",-0.414518484406298,-0.17441681208823,"Hemerobiidae"
"Leptoceridae",0.377168062866848,-0.26682281429147,"Leptoceridae"
