"","NMDS1","NMDS3","X.alltaxa13.2017.vectors..r","X.alltaxa13.2017.vectors..pvals"
"Avg_Can",-0.998959733406539,0.0456009981506691,0.600638174849568,0.002
"Depth",0.998502563284131,0.0547049459831553,0.192022063598578,0.099
"DO",0.970468274507402,0.241228788030419,0.137655324319706,0.199
"OpenWater",0.993834670313882,0.110872215104138,0.772340025920077,0.001
"St.Dead",-0.843727990404227,-0.536770973701489,0.528963991231925,0.001
"CALCANAD",-0.938246501727988,-0.345967486904755,0.0698240776943434,0.536
"CAMAPARI",0.740244939738858,-0.672337288264614,0.017381794286736,0.836
"CALSEPIU",-0.357903078878133,0.933758740858447,0.0547235540338587,0.703
"CARAQUAT",-0.141803304264621,0.989894854466693,0.166178135373732,0.139
"CARBUXBA",-0.595722188698953,0.803190558891058,0.0411157362199091,0.799
"CARCOMOS",-0.982215267481937,-0.187758270990622,0.110462598897574,0.28
"CARCRYPT",0.233914590477462,0.972257149298354,0.169407697374206,0.039
"CARLACUS",-0.403026728562351,-0.915188208001135,0.0127199219549165,1
"CARLANGU",-0.511693461286792,-0.859168086975036,0.0823395811956319,0.592
"CARLASIO",-0.222101010289622,0.975023661881254,0.0366300890324085,0.757
"CARSARTW",-0.691865601268385,0.722026308233666,0.0282017344985753,0.889
"CLAMARIS",-0.37367153669141,0.927561093765085,0.0598399366126613,0.683
"CORSTOLO",-0.758988430968803,-0.651104109690235,0.166802169930173,0.143
"FRAVIRGI",0.233914590477462,0.972257149298354,0.169407697374206,0.039
"HYDMORSU",0.890874517082352,-0.454249485209709,0.0243702190806637,0.873
"HYPKALMI",0.127117728351283,0.991887636347389,0.209433780210906,0.047
"IRIVERSA",-0.691865601268385,0.722026308233665,0.0282017344985753,0.889
"JUNBALTI",0.890580477550228,0.454825695191474,0.102954000451667,0.369
"LYSTHYRS",0.0869299098423768,0.996214430117731,0.192740038557599,0.063
"PHRAUSTR",-0.8533778198562,0.52129290861998,0.349899987831525,0.005
"Polygonum.Spp",-0.295171416934658,-0.955444312675933,0.0936016100438499,0.406
"Rosa.Spp",0.233914590477462,0.972257149298354,0.169407697374206,0.039
"Solidago.Spp.",0.180344080960153,0.983603585019208,0.197025567189239,0.023
"TYPHA.SPP",-0.251812213685484,-0.967776115141729,0.131041182789152,0.233
"UTRINTER",0.797524171049466,0.603286993554363,0.191976542311299,0.031
"Araneae",-0.869421960408201,-0.494070293338873,0.0154982421128934,0.87
"Acari",-0.609681754526284,0.792646300816292,0.118473602239775,0.289
"Curculionida",-0.876649135725829,0.481130224399961,0.172480020119895,0.137
"Staphylinida",-0.591074553499257,0.806616930274622,0.230643540049479,0.053
"Carabidae",-0.422446449451477,0.906387884597892,0.519732610517857,0.002
"Anthicidae",0.974164538680342,-0.225839437604942,0.077962145034209,0.425
"Throscidae",0.0544453696851022,-0.9985167508459,0.183102564491465,0.126
"Erotylidae",-0.840412226093665,-0.541947682191086,0.380821102113099,0.004
"Cryptophagid",0.0834511103299497,-0.996511872575886,0.0700330757177998,0.491
"Latridiidae",0.0553001560377139,0.998469775577711,0.0855974180204105,0.433
"Phalacridae",0.116340759343479,0.993209357444533,0.173065960565391,0.11
"Hydrophilida",-0.245734134583106,-0.969337265919707,0.083595557911999,0.546
