"","Site","Treatment","NMDS1","NMDS2","NMDS3"
"1","IN1","Invaded",-0.224126388063489,-0.443188252305197,0.213258398260766
"2","IN2","Invaded",-0.561387902061283,0.177052546580547,0.138567125576695
"3","IN3","Invaded",-0.386527848162393,-0.203109945274794,-0.0594484196416527
"4","IN4","Invaded",-0.0909403983539435,0.0721756998722263,0.374384575872533
"5","IN5","Invaded",-0.674821992944336,-0.040884111039095,-0.0162461400158468
"6","IN6","Invaded",-0.449759101737273,-0.0957447388372649,0.373321926778733
"7","IN7","Invaded",-0.134988572545207,-0.561136521444997,-0.182398154662438
"8","IN8","Invaded",-0.457854928790003,-0.301082462280658,0.251368255576673
"9","INOW","Invaded",0.598972662500418,-0.113226700868415,0.523950709115331
"10","RES1","Treated",0.52762370462408,0.446741190308186,0.0794356693737048
"11","RES2","Treated",0.504129631732649,0.158432138859928,-0.208092619818594
"12","RES3","Treated",0.490182106975505,-0.069388675887377,0.0413534044661037
"13","RES4","Treated",0.502109575994898,0.22863240289748,0.226364211859443
"14","RES5","Treated",0.202807214533731,0.49895985493251,-0.356708115511182
"15","RES6","Treated",0.57531722038139,-0.0384578818147547,-0.458353441159799
"16","RES7","Treated",0.316563295830065,-0.253292062584592,-0.601207243089391
"17","RES8","Treated",0.167428030135648,0.436661847076558,-0.116084315551338
"18","RESOW","Treated",0.3234353745974,-0.540898167643092,0.492116420902031
"19","UNM1","Uninvaded",-0.321268719851478,0.264902486533396,0.128428523091377
"20","UNM2","Uninvaded",-0.305860921006888,0.641218676780791,0.255460424508784
"21","UNM3","Uninvaded",0.0201479395449044,0.387512670030703,0.517724634377331
"22","UNM4","Uninvaded",-0.329330009200361,-0.374999729907803,-0.352346884508641
"23","UNOW","Uninvaded",0.557507948193108,-0.518139228215387,0.0712007707501008
"24","UNT1","Uninvaded",-0.544935549926416,-0.00547760527392183,-0.364532044918119
"25","UNT2","Uninvaded",-0.36471215658929,0.250964264862874,-0.333953857166116
"26","UNT3","Uninvaded",0.188470304197855,-0.173481408896749,-0.198988792350692
"27","UNT4","Uninvaded",-0.12818052000929,0.169253713538898,-0.438575022115796
