"","NMDS1","NMDS2","X.alltaxa12.2017.vectors..r","X.alltaxa12.2017.vectors..pvals"
"Avg_Can",-0.844202396321483,-0.536024546121785,0.720598022293639,0.001
"Depth",0.961885926483067,-0.273451027487212,0.20209726097038,0.084
"DO",0.645021369758703,0.764164532384621,0.211791798484965,0.108
"OpenWater",0.971799265776961,0.235809641523326,0.792140927068595,0.001
"St.Dead",-0.962708837935173,-0.270539633624186,0.429528183415177,0.003
"CALCANAD",-0.848846321014986,-0.528639691377145,0.0766787061428798,0.477
"CAMAPARI",0.298667832641893,0.954357126942003,0.0467619164380819,0.602
"CALSEPIU",-0.377506007017892,0.926007135321001,0.214137524999714,0.008
"CARAQUAT",-0.599974454790546,0.800019158269842,0.0643522934145456,0.57
"CARBUXBA",-0.55459961736594,0.832117338130598,0.0831008716788215,0.478
"CARCOMOS",-0.999467251419268,0.0326376062298495,0.108140409612327,0.292
"CARCRYPT",-0.0128771316410004,0.999917086303009,0.0517286675885096,0.755
"CARLACUS",0.0911763583586609,-0.995834761231226,0.169981525050398,0.091
"CARLANGU",-0.255227791849107,-0.966880951445331,0.0884127720223077,0.54
"CARLASIO",-0.0475033244882918,-0.998871079850929,0.109476013772999,0.23
"CARSARTW",-0.613574825248984,0.789636583385471,0.0510516362040659,0.784
"CLAMARIS",-0.3856317431317,0.922652783385606,0.227266623376829,0.008
"CORSTOLO",-0.989476187667495,-0.144695798276935,0.108057338858894,0.28
"FRAVIRGI",-0.0128771316410003,0.99991708630301,0.0517286675885096,0.755
"HYDMORSU",0.347375861796776,0.937725978439836,0.0674086938756088,0.664
"HYPKALMI",-0.199590885523771,0.979879318291715,0.160193410903379,0.144
"IRIVERSA",-0.613574825248984,0.789636583385471,0.0510516362040659,0.784
"JUNBALTI",0.870487258120173,-0.492190952223244,0.108331314521311,0.263
"LYSTHYRS",-0.394449931236164,0.918917434673968,0.0172842267463378,0.907
"PHRAUSTR",-0.893752004221506,-0.448561428290531,0.336339611523096,0.009
"Polygonum.Spp",-0.141414323648785,-0.989950498291181,0.0259869294624583,0.791
"Rosa.Spp",-0.0128771316410004,0.999917086303009,0.0517286675885096,0.755
"Solidago.Spp.",-0.129793597708181,0.991541033943612,0.093932704072947,0.407
"TYPHA.SPP",-0.244002096762669,-0.969774704132574,0.0102524699326822,0.91
"UTRINTER",0.993949068873852,0.109841924986782,0.136006945273215,0.148
"Araneae",-0.47575652541426,-0.879577016824423,0.028133401119084,0.788
"Acari",-0.99999939553761,-0.00109951098849127,0.0713623711551097,0.535
"Curculionida",-0.993671465622368,-0.112325502037137,0.151764175891394,0.175
"Staphylinida",-0.730463719713468,0.682951502071973,0.235004959940055,0.053
