,MDS1,MDS2,taxa
Carabidae,-0.45407859,-0.407950757,Carabidae
Erotylidae,-0.568604932,0.09525719,Erotylidae
Culicidae,-0.612061538,0.227812777,Culicidae
Dolichopodid,-0.628996684,0.212777959,Dolichopodidae
Agromyzidae,0.494532108,-0.284607228,Agromyzidae
Ichneumonida,-0.402211297,-0.525012162,Ichneumonidae
Hemerobiidae,-0.60774794,0.205051745,Hemerobiidae
Hydroptilida,0.5771991,0.355939065,Hydroptilidae
Leptoceridae,0.494453876,-0.324573655,Leptoceridae
Phryganeidae,0.156645576,0.547355238,Phryganeidae
